title,authors,published,url
How Transparent is DiffusionGemma?,"Joshua Engels, Callum McDougall, Bilal Chughtai, Janos Kramar, Senthoran Rajamanoharan, Cindy Wu, Arthur Conmy, Asic Q Chen, Jean Tarbouriech, Min Ma, Brendan O'Donoghue, João Gabriel Lopes de Oliveira, Rohin Shah, Neel Nanda",2026-06-18 17:59:46+00:00,http://arxiv.org/abs/2606.20560v1
Structuring and Tokenizing Distributed User Interest Context for Generative Recommendation,"Ruizhong Qiu, Yinglong Xia, Dongqi Fu, Hanqing Zeng, Ren Chen, Xiangjun Fan, Hong Li, Hong Yan, Hanghang Tong",2026-06-18 17:58:32+00:00,http://arxiv.org/abs/2606.20554v1
Current World Models Lack a Persistent State Core,"Jinpeng Lu, Dexu Zhu, Haoyuan Shi, Linghan Cai, Guo Tang, Yinda Chen, Jie Cao, Duyu Tang, Yi Zhang, Yong Dai, Xiaozhu Ju",2026-06-18 17:55:15+00:00,http://arxiv.org/abs/2606.20545v1
Toward Calibrated Mixture-of-Experts Under Distribution Shift,"Gina Wong, Drew Prinster, Suchi Saria, Rama Chellappa, Anqi Liu",2026-06-18 17:55:00+00:00,http://arxiv.org/abs/2606.20544v1
How Do Instructions Shape Speech? Cross-Attention Attribution for Style-Captioned Text-to-Speech,"Nityanand Mathur, Hamees Sayed, Wasim Madha, Apoorv Singh, Sameer Khurana, Akshat Mandloi, Sudarshan Kamath",2026-06-18 17:47:32+00:00,http://arxiv.org/abs/2606.20532v1
LedgerAgent: Structured State for Policy-Adherent Tool-Calling Agents,"Md Nayem Uddin, Amir Saeidi, Eduardo Blanco, Chitta Baral",2026-06-18 17:41:56+00:00,http://arxiv.org/abs/2606.20529v1
DeepSWIP: Quotient-WMC Counterfactuals for Neural Probabilistic Logic Programs,"Saimun Habib, Vaishak Belle, Fengxiang He",2026-06-18 17:39:00+00:00,http://arxiv.org/abs/2606.20526v1
SARLO-80: Worldwide Slant SAR Language Optic Dataset 80cm,"Solène Debuysère, Nicolas Trouvé, Nathan Letheule, Elise Colin, Georgia Channing",2026-06-18 17:38:01+00:00,http://arxiv.org/abs/2606.20523v1
Sovereign Execution Brokers: Enforcing Certificate-Bound Authority in Agentic Control Planes,"Jun He, Deying Yu",2026-06-18 17:36:46+00:00,http://arxiv.org/abs/2606.20520v1
FlowEdit: Associative Memory for Lifelong Pronunciation Adaptation in Flow-Matching TTS,"Harshit Singh, Ayush Pratap Singh, Nityanand Mathur",2026-06-18 17:36:02+00:00,http://arxiv.org/abs/2606.20518v1
Multi-LCB: Extending LiveCodeBench to Multiple Programming Languages,"Maria Ivanova, Pavel Zadorozhny, Rodion Levichev, Ivan Petrov, Adamenko Pavel, Ivan Lopatin, Alexey Kutalev, Dmitrii Babaev",2026-06-18 17:35:57+00:00,http://arxiv.org/abs/2606.20517v1
S-Agent: Spatial Tool-Use Elicits Reasoning for Spatial Intelligence,"Yalun Dai, Hao Li, Shulin Tian, Runmao Yao, Yuhao Dong, Fangzhou Hong, Zhaoxi Chen, Fangfu Liu, Baoliang Tian, Dingwen Zhang, Tao Wang, Kim-Hui Yap, Ziwei Liu",2026-06-18 17:34:55+00:00,http://arxiv.org/abs/2606.20515v1
Efficient and Sound Probabilistic Verification for AI Agents,"Alaia Solko-Breslin, Pramod Kaushik Mudrakarta, Mihai Christodorescu, Somesh Jha, Krishnamurthy Dj Dvijotham",2026-06-18 17:27:59+00:00,http://arxiv.org/abs/2606.20510v1
What Do Safety-Aligned LLMs Learn From Mixed Compliance Demonstrations?,"Sihui Dai, Mann Patel",2026-06-18 17:25:38+00:00,http://arxiv.org/abs/2606.20508v1
FreeStyle: Free Control of Style-Content Dual-Reference Generation from Community LoRA Mining,"Jinghong Lan, Wei Cheng, Yunuo Chen, Ziqi Ye, Peng Xing, Yixiao Fang, Rui Wang, Yufeng Yang, Xuanyang Zhang, Xianfang Zeng, Difan Zou, Gang Yu, Chi Zhang",2026-06-18 17:24:27+00:00,http://arxiv.org/abs/2606.20506v1
Calibration Without Comprehension: Diagnosing the Limits of Fine-Tuning LLMs for Vulnerability Detection in Systems Software,"Arastoo Zibaeirad, Marco Vieira",2026-06-18 17:19:26+00:00,http://arxiv.org/abs/2606.20502v1
Contagion Networks: Evaluator Bias Propagation in Multi-Agent LLM Systems,Zewen Liu,2026-06-18 17:09:34+00:00,http://arxiv.org/abs/2606.20493v1
Optimal Order of Multi-Agent and General Many-Body Systems,Jake J. Xia,2026-06-18 17:03:03+00:00,http://arxiv.org/abs/2606.20485v1
UltraQuant: 4-bit KV Caching for Context-Heavy Agents,"Inesh Chakrabarti, David Limpus, Aditi Ghai Rana, Bowen Bao, Spandan Tiwari, Thiago Crepaldi, Ashish Sirasao",2026-06-18 16:54:07+00:00,http://arxiv.org/abs/2606.20474v1
Analyzing Defensive Misdirection Against Model-Guided Automated Attacks on Agentic AI Systems,"Reza Soosahabi, Vivek Namsani",2026-06-18 16:50:28+00:00,http://arxiv.org/abs/2606.20470v1
Context-Aware Hierarchical Bayesian Modeling of IVF Laboratory Environmental Conditions,"Zahra Asghari Varzaneh, Reza Khoshkangini, Pia Saldeen, Lars Johansson, Thomas Ebner",2026-06-18 16:40:19+00:00,http://arxiv.org/abs/2606.20459v1
Repurposing a Speech Classifier for Guided Diffusion-Based Speech Generation,"Rostislav Makarov, Timo Gerkmann",2026-06-18 16:40:02+00:00,http://arxiv.org/abs/2606.20457v1
Directors Duties in the Age of Agentic Artificial Intelligence,Deirdre Ahern,2026-06-18 16:33:35+00:00,http://arxiv.org/abs/2606.20453v1
Interpretable Sperm Morphology Classification via Attention-Guided Deep Learning,"Zahra Asghari Varzaneh, Reza Khoshkangini, Thomas Ebner, Lars Johansson",2026-06-18 16:19:13+00:00,http://arxiv.org/abs/2606.20438v1
Multi-View Decompilation for LLM-Based Malware Classification,"Bercan Turkmen, Vyas Raina",2026-06-18 16:15:30+00:00,http://arxiv.org/abs/2606.20436v1
"LLM agent safety, multi-turn red-teaming, jailbreak benchmarks, adversarial robustness, safety-critical systems","Hanwool Lee, Dasol Choi, Bokyeong Kim, Seung Geun Kim, Haon Park",2026-06-18 15:57:53+00:00,http://arxiv.org/abs/2606.20408v1
DataMagic: Transforming Tabular Data into Data Insight Video,"Yupeng Xie, Chen Ma, Zhenyang Wang, Liangwei Wang, Jiayi Zhu, Chuxuan Zeng, Zhouan Shen, Boyan Li, Yuyu Luo",2026-06-18 15:45:05+00:00,http://arxiv.org/abs/2606.20388v1
